"h [mm]","w [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(1,2)) []","dB(S(2,2)) []"
0.05,0.03,4.23,-22.3301451977906,-0.211991293344103,-0.211991293344103,-22.3300727566673
0.05,0.03,4.2775,-22.2574565670231,-0.212761618015713,-0.212761618015713,-22.2573837925703
0.05,0.03,4.325,-22.1857990551373,-0.213531142545962,-0.213531142545962,-22.1857259593551
0.05,0.03,4.3725,-22.1151509320016,-0.214299922794488,-0.214299922794488,-22.1150775269623
0.05,0.03,4.42,-22.0454910325766,-0.215068011250929,-0.215068011250929,-22.045417330415
0.05,0.03,4.4675,-21.9767987401012,-0.215835457068897,-0.215835457068897,-21.9767247530045
0.05,0.03,4.515,-21.9090539699168,-0.21660230610514,-0.21660230610514,-21.9089797101152
0.05,0.03,4.5625,-21.8422371539059,-0.217368600963177,-0.217368600963177,-21.8421626336622
0.05,0.03,4.61,-21.7763292255203,-0.218134381040857,-0.218134381040857,-21.77625445712
0.05,0.03,4.6575,-21.7113116053766,-0.218899682581256,-0.218899682581256,-21.7112366011179
0.05,0.03,4.705,-21.6471661873962,-0.219664538726418,-0.219664538726418,-21.64709095958
0.05,0.03,4.7525,-21.5838753254679,-0.220428979573518,-0.220428979573518,-21.5837998863878
0.05,0.03,4.8,-21.5214218206135,-0.221193032232982,-0.221193032232982,-21.5213461825454
0.05,0.03,4.8475,-21.4597889086344,-0.221956720888275,-0.221956720888275,-21.4597130838265
0.05,0.03,4.895,-21.3989602482206,-0.222720066856964,-0.222720066856964,-21.3988842488837
0.05,0.03,4.9425,-21.3389199095048,-0.223483088652812,-0.223483088652812,-21.3388437478016
0.05,0.03,4.99,-21.2796523630403,-0.2242458020486,-0.2242458020486,-21.2795760510758
0.05,0.03,5.0375,-21.2211424691897,-0.225008220139454,-0.225008220139454,-21.2210660190009
0.05,0.03,5.085,-21.1633754679041,-0.225770353406503,-0.225770353406501,-21.16329889145
0.05,0.03,5.1325,-21.1063369688792,-0.226532209780615,-0.226532209780615,-21.1062602780308
0.05,0.03,5.18,-21.0500129420726,-0.227293794706109,-0.227293794706109,-21.0499361486028
0.05,0.03,5.2275,-20.9943897085671,-0.228055111204257,-0.228055111204257,-20.9943128241409
0.05,0.03,5.275,-20.9394539317674,-0.228816159936469,-0.228816159936469,-20.9393769679319
0.05,0.03,5.3225,-20.8851926089153,-0.229576939267045,-0.229576939267045,-20.8851155770897
0.05,0.03,5.37,-20.8315930629119,-0.230337445325391,-0.230337445325391,-20.8315159743777
0.05,0.03,5.4175,-20.7786429344341,-0.231097672067604,-0.231097672067604,-20.7785658003252
0.05,0.03,5.465,-20.7263301743336,-0.231857611337392,-0.231857611337392,-20.7262530056267
0.05,0.03,5.5125,-20.6746430363074,-0.232617252926219,-0.232617252926219,-20.6745658438121
0.05,0.03,5.56,-20.6235700698298,-0.233376584632655,-0.233376584632655,-20.6234928641788
0.05,0.03,5.6075,-20.5731001133342,-0.234135592320871,-0.234135592320871,-20.573022904974
0.05,0.03,5.655,-20.5232222876364,-0.234894259978248,-0.234894259978248,-20.5231450868172
0.05,0.03,5.7025,-20.4739259895893,-0.235652569772068,-0.235652569772068,-20.4738488063559
0.05,0.03,5.75,-20.4252008859606,-0.236410502105271,-0.236410502105271,-20.4251237301423
0.05,0.03,5.7975,-20.3770369075239,-0.237168035671249,-0.237168035671249,-20.3769597887257
0.05,0.03,5.845,-20.3294242433569,-0.23792514750767,-0.23792514750767,-20.3293471709497
0.05,0.03,5.8925,-20.2823533353372,-0.238681813049325,-0.238681813049325,-20.2822763184482
0.05,0.03,5.94,-20.2358148728285,-0.239438006179986,-0.239438006179986,-20.2357379203324
0.05,0.03,5.9875,-20.1897997875513,-0.240193699283295,-0.240193699283295,-20.1897229080608
0.05,0.03,6.035,-20.14429924863,-0.240948863292648,-0.240948863292648,-20.1442224504864
0.05,0.03,6.0825,-20.0993046578097,-0.241703467740119,-0.241703467740119,-20.0992279490737
0.05,0.03,6.13,-20.0548076448376,-0.242457480804403,-0.242457480804403,-20.0547310332807
0.05,0.03,6.1775,-20.0108000630022,-0.243210869357807,-0.243210869357807,-20.0107235560969
0.05,0.03,6.225,-19.9672739848244,-0.243963599012271,-0.243963599012271,-19.9671975897358
0.05,0.03,6.2725,-19.9242216978954,-0.24471563416448,-0.24471563416448,-19.9241454214719
0.05,0.03,6.32,-19.8816357008558,-0.24546693804002,-0.24546693804002,-19.8815595496202
0.05,0.03,6.3675,-19.8395086995112,-0.246217472736648,-0.246217472736648,-19.8394326796518
0.05,0.03,6.415,-19.7978336030782,-0.246967199266648,-0.246967199266648,-19.7977577204405
0.05,0.03,6.4625,-19.7566035205586,-0.247716077598327,-0.247716077598327,-19.7565277806357
0.05,0.03,6.51,-19.7158117572335,-0.248464066696639,-0.248464066696639,-19.7157361651581
0.05,0.03,6.5575,-19.6754518112771,-0.249211124562973,-0.249211124562973,-19.6753763718126
0.05,0.03,6.605,-19.6355173704826,-0.249957208274099,-0.249957208274099,-19.6354420880145
0.05,0.03,6.6525,-19.5960023090981,-0.250702274020326,-0.250702274020326,-19.5959271876255
0.05,0.03,6.7,-19.5569006847677,-0.251446277142882,-0.251446277142882,-19.5568257278951
0.05,0.03,6.7475,-19.5182067355748,-0.252189172170482,-0.252189172170482,-19.5181319465032
0.05,0.03,6.795,-19.4799148771825,-0.252930912855187,-0.252930912855187,-19.4798402587014
0.05,0.03,6.8425,-19.4420197000694,-0.253671452207501,-0.253671452207501,-19.4419452545488
0.05,0.03,6.89,-19.4045159668564,-0.254410742530784,-0.254410742530784,-19.4044416962379
0.05,0.03,6.9375,-19.3673986097204,-0.255148735454944,-0.255148735454944,-19.3673245155099
0.05,0.03,6.985,-19.330662727894,-0.255885381969455,-0.255885381969455,-19.3305888111529
0.05,0.03,7.0325,-19.2943035852447,-0.256620632455731,-0.256620632455731,-19.2942298465825
0.05,0.03,7.08,-19.2583166079346,-0.257354436718839,-0.257354436718839,-19.2582430475006
0.05,0.03,7.1275,-19.2226973821538,-0.258086744018598,-0.258086744018598,-19.2226239996295
0.05,0.03,7.175,-19.1874416519269,-0.258817503100083,-0.258817503100083,-19.1873684465184
0.05,0.03,7.2225,-19.1525453169899,-0.259546662223511,-0.259546662223511,-19.1524722874199
0.05,0.03,7.27,-19.1180044307326,-0.260274169193571,-0.260274169193571,-19.1179315752332
0.05,0.03,7.3175,-19.0838151982067,-0.260999971388206,-0.260999971388206,-19.0837425145117
0.05,0.03,7.365,-19.0499739741947,-0.261724015786819,-0.261724015786819,-19.0499014595323
0.05,0.03,7.4125,-19.0164772613378,-0.262446248998012,-0.262446248998012,-19.0164049124236
0.05,0.03,7.46,-18.983321708321,-0.263166617286745,-0.263166617286745,-18.9832495213505
0.05,0.03,7.5075,-18.9505041081118,-0.26388506660104,-0.26388506660104,-18.9504320787536
0.05,0.03,7.555,-18.9180213962499,-0.264601542598206,-0.264601542598206,-18.9179495196387
0.05,0.03,7.6025,-18.8858706491874,-0.265315990670584,-0.265315990670584,-18.8857989199173
0.05,0.03,7.65,-18.8540490826745,-0.266028355970837,-0.266028355970837,-18.8539774947925
0.05,0.03,7.6975,-18.8225540501905,-0.266738583436798,-0.266738583436798,-18.8224825971896
0.05,0.03,7.745,-18.7913830414164,-0.267446617815904,-0.267446617815904,-18.7913117162296
0.05,0.03,7.7925,-18.7605336807477,-0.268152403689203,-0.268152403689203,-18.7604624757416
0.05,0.03,7.84,-18.7300037258442,-0.268855885494955,-0.268855885494955,-18.7299326328132
0.05,0.03,7.8875,-18.6997910662161,-0.269557007551858,-0.269557007551858,-18.6997200763762
0.05,0.03,7.935,-18.6698937218419,-0.270255714081872,-0.270255714081872,-18.6698228258253
0.05,0.03,7.9825,-18.6403098418179,-0.270951949232701,-0.270951949232701,-18.6402390296673
0.05,0.03,8.03,-18.6110377030364,-0.271645657099882,-0.271645657099884,-18.6109669641999
0.05,0.03,8.0775,-18.5820757088898,-0.272336781748568,-0.272336781748568,-18.5820050322155
0.05,0.03,8.125,-18.5534223879993,-0.273025267234942,-0.273025267234942,-18.5533517617305
0.05,0.03,8.1725,-18.5250763929652,-0.273711057627306,-0.273711057627306,-18.5250058047361
0.05,0.03,8.22,-18.4970364991381,-0.274394097026885,-0.274394097026885,-18.4969659359685
0.05,0.03,8.2675,-18.469301603406,-0.275074329588264,-0.275074329588264,-18.4692310516981
0.05,0.03,8.315,-18.4418707229987,-0.275751699539592,-0.275751699539592,-18.4418001685326
0.05,0.03,8.3625,-18.4147429943044,-0.276426151202428,-0.276426151202428,-18.4146724222344
0.05,0.03,8.41,-18.387917671698,-0.277097629011362,-0.277097629011362,-18.3878470665493
0.05,0.03,8.4575,-18.3613941263776,-0.277766077533327,-0.277766077533327,-18.3613234720435
0.05,0.03,8.505,-18.3351718452091,-0.278431441486653,-0.278431441486653,-18.3351011249476
0.05,0.03,8.5525,-18.3092504295742,-0.279093665759853,-0.279093665759853,-18.3091796260059
0.05,0.03,8.6,-18.2836295942211,-0.279752695430176,-0.279752695430176,-18.2835586893271
0.05,0.03,8.6475,-18.2583091661166,-0.280408475781893,-0.280408475781893,-18.2582381412364
0.05,0.03,8.695,-18.2332890832942,-0.281060952324367,-0.281060952324368,-18.2332179191246
0.05,0.03,8.7425,-18.2085693937002,-0.281710070809853,-0.281710070809853,-18.2084980702939
0.05,0.03,8.79,-18.1841502540324,-0.282355777251125,-0.282355777251125,-18.1840787507973
0.05,0.03,8.8375,-18.1600319285702,-0.282998017938832,-0.282998017938832,-18.1599602242694
0.05,0.03,8.885,-18.1362147879952,-0.283636739458675,-0.283636739458675,-18.1361428607468
0.05,0.03,8.9325,-18.1126993081975,-0.284271888708364,-0.284271888708364,-18.1126271354752
0.05,0.03,8.98,-18.0894860690685,-0.284903412914354,-0.284903412914354,-18.0894136277027
0.05,0.03,9.0275,-18.0665757532754,-0.28553125964843,-0.28553125964843,-18.0665030194546
0.05,0.03,9.075,-18.0439691450171,-0.286155376844039,-0.286155376844039,-18.0438960942897
0.05,0.03,9.1225,-18.0216671287584,-0.286775712812492,-0.286775712812492,-18.0215937360352
0.05,0.03,9.17,-17.9996706879409,-0.287392216258935,-0.287392216258935,-17.999596927498
0.05,0.03,9.2175,-17.9779809036673,-0.28800483629818,-0.28800483629818,-17.9779067491497
0.05,0.03,9.265,-17.9565989533594,-0.288613522470333,-0.288613522470333,-17.9565243777846
0.05,0.03,9.3125,-17.9355261093846,-0.289218224756276,-0.289218224756277,-17.9354510851474
0.05,0.03,9.36,-17.9147637376516,-0.289818893592961,-0.289818893592961,-17.9146882365291
0.05,0.03,9.4075,-17.8943132961711,-0.290415479888562,-0.290415479888562,-17.8942372893285
0.05,0.03,9.455,-17.8741763335815,-0.291007935037459,-0.291007935037459,-17.8740997915783
0.05,0.03,9.5025,-17.8543544876356,-0.291596210935059,-0.291596210935059,-17.8542773804324
0.05,0.03,9.55,-17.8348494836477,-0.292180259992488,-0.292180259992488,-17.8347717806139
0.05,0.03,9.5975,-17.8156631328988,-0.292760035151126,-0.292760035151126,-17.8155848028207
0.05,0.03,9.645,-17.7967973309982,-0.293335489896989,-0.293335489896989,-17.7967183420878
0.05,0.03,9.6925,-17.7782540561988,-0.293906578274978,-0.293906578274978,-17.7781743761035
0.05,0.03,9.74,-17.760035367666,-0.294473254902995,-0.294473254902995,-17.7599549634785
0.05,0.03,9.7875,-17.7421434036966,-0.295035474985904,-0.295035474985904,-17.7420622419662
0.05,0.03,9.835,-17.7245803798877,-0.295593194329393,-0.295593194329393,-17.7244984266315
0.05,0.03,9.8825,-17.7073485872526,-0.29614636935368,-0.29614636935368,-17.7072658079681
0.05,0.03,9.93,-17.6904503902834,-0.29669495710709,-0.29669495710709,-17.6903667499617
0.05,0.03,9.9775,-17.6738882249582,-0.297238915279531,-0.297238915279531,-17.6738036880975
0.05,0.03,10.025,-17.6576645966914,-0.297778202215836,-0.297778202215836,-17.657579127312
0.05,0.03,10.0725,-17.6417820782266,-0.298312776928959,-0.298312776928959,-17.641695639886
0.05,0.03,10.12,-17.6262433074705,-0.298842599113115,-0.298842599113115,-17.6261558632796
0.05,0.03,10.1675,-17.6110509852657,-0.299367629156731,-0.299367629156731,-17.6109624979059
0.05,0.03,10.215,-17.5962078731043,-0.299887828155349,-0.299887828155349,-17.596118304845
0.05,0.03,10.2625,-17.5817167907778,-0.300403157924367,-0.300403157924367,-17.5816261034951
0.05,0.03,10.31,-17.5675806139657,-0.300913581011712,-0.300913581011712,-17.5674887691617
0.05,0.03,10.3575,-17.5538022717606,-0.301419060710363,-0.301419060710363,-17.5537092305836
0.05,0.03,10.405,-17.5403847441292,-0.301919561070815,-0.301919561070815,-17.5402904673946
0.05,0.03,10.4525,-17.5273310593104,-0.302415046913391,-0.302415046913391,-17.5272355075223
0.05,0.03,10.5,-17.5146442911484,-0.302905483840491,-0.302905483840491,-17.5145474245223
0.05,0.03,10.5475,-17.5023275563619,-0.30339083824871,-0.30339083824871,-17.5022293348483
0.05,0.03,10.595,-17.4903840117501,-0.303871077340876,-0.303871077340876,-17.4902843950584
0.05,0.03,10.6425,-17.4788168513341,-0.304346169137989,-0.304346169137989,-17.4787157989575
0.05,0.03,10.69,-17.4676293034357,-0.304816082491037,-0.304816082491037,-17.4675267746771
0.05,0.03,10.7375,-17.4568246276935,-0.305280787092754,-0.305280787092754,-17.4567205816918
0.05,0.03,10.785,-17.4464061120173,-0.305740253489262,-0.305740253489262,-17.4463005077751
0.05,0.03,10.8325,-17.4363770694818,-0.306194453091605,-0.306194453091605,-17.4362698658933
0.05,0.03,10.88,-17.4267408351615,-0.306643358187233,-0.306643358187233,-17.4266319910408
0.05,0.03,10.9275,-17.4175007629062,-0.307086941951349,-0.307086941951349,-17.4173902370174
0.05,0.03,10.975,-17.4086602220609,-0.307525178458195,-0.307525178458195,-17.4085479731481
0.05,0.03,11.0225,-17.4002225941314,-0.307958042692242,-0.307958042692242,-17.4001085809494
0.05,0.03,11.07,-17.3921912693958,-0.308385510559282,-0.308385510559281,-17.3920754507419
0.05,0.03,11.1175,-17.3845696434667,-0.308807558897441,-0.308807558897441,-17.3844519782127
0.05,0.03,11.165,-17.3773611138047,-0.309224165488108,-0.309224165488109,-17.3772415609298
0.05,0.03,11.2125,-17.3705690761866,-0.30963530906676,-0.30963530906676,-17.3704475948104
0.05,0.03,11.26,-17.36419692113,-0.310040969333731,-0.310040969333731,-17.3640734705469
0.05,0.03,11.3075,-17.3582480302797,-0.31044112696487,-0.310441126964871,-17.358122569993
0.05,0.03,11.355,-17.3527257727559,-0.310835763622128,-0.310835763622128,-17.3525982625128
0.05,0.03,11.4025,-17.3476335014704,-0.311224861964045,-0.311224861964045,-17.3475039012971
0.05,0.03,11.45,-17.3429745494126,-0.311608405656187,-0.311608405656187,-17.3428428196502
0.05,0.03,11.4975,-17.3387522259101,-0.311986379381469,-0.311986379381469,-17.3386183272506
0.05,0.03,11.545,-17.3349698128672,-0.3123587688504,-0.3123587688504,-17.3348337063901
0.05,0.03,11.5925,-17.3316305609863,-0.312725560811274,-0.312725560811274,-17.3314922081949
0.05,0.03,11.64,-17.3287376859756,-0.313086743060231,-0.313086743060231,-17.3285970488341
0.05,0.03,11.6875,-17.3262943647482,-0.313442304451285,-0.313442304451285,-17.3261514057187
0.05,0.03,11.735,-17.3243037316176,-0.313792234906248,-0.313792234906248,-17.3241584136972
0.05,0.03,11.7825,-17.322768874493,-0.314136525424569,-0.314136525424569,-17.322621161251
0.05,0.03,11.83,-17.3216928310818,-0.314475168093113,-0.314475168093113,-17.3215426866972
0.05,0.03,11.8775,-17.3210785851018,-0.314808156095829,-0.314808156095829,-17.3209259744002
0.05,0.03,11.925,-17.3209290625105,-0.315135483723387,-0.315135483723387,-17.3207739510013
0.05,0.03,11.9725,-17.3212471277552,-0.315457146382664,-0.315457146382664,-17.3210894816686
0.05,0.03,12.02,-17.3220355800506,-0.315773140606242,-0.315773140606242,-17.3218753663745
0.05,0.03,12.0675,-17.3232971496892,-0.316083464061733,-0.316083464061733,-17.3231343362052
0.05,0.03,12.115,-17.3250344943893,-0.3163881155611,-0.3163881155611,-17.3248690497093
0.05,0.03,12.1625,-17.3272501956874,-0.316687095069846,-0.316687095069846,-17.327082089289
0.05,0.03,12.21,-17.3299467553796,-0.316980403716151,-0.316980403716151,-17.3297759576416
0.05,0.03,12.2575,-17.3331265920198,-0.317268043799948,-0.317268043799948,-17.3329530742568
0.05,0.03,12.305,-17.336792037477,-0.31755001880186,-0.31755001880186,-17.3366157719737
0.05,0.03,12.3525,-17.3409453335615,-0.317826333392114,-0.317826333392114,-17.3407662936062
0.05,0.03,12.4,-17.3455886287225,-0.318096993439363,-0.318096993439363,-17.3454067886399
0.05,0.03,12.4475,-17.3507239748247,-0.318362006019403,-0.318362006019403,-17.350539310008
0.05,0.03,12.495,-17.3563533240087,-0.318621379423844,-0.318621379423844,-17.3561658109508
0.05,0.03,12.5425,-17.3624785256408,-0.318875123168668,-0.318875123168668,-17.3622881419646
0.05,0.03,12.59,-17.3691013233584,-0.319123248002761,-0.319123248002761,-17.3689080478465
0.05,0.03,12.6375,-17.3762233522152,-0.319365765916278,-0.319365765916278,-17.3760271648381
0.05,0.03,12.685,-17.3838461359326,-0.319602690149032,-0.31960269014903,-17.3836470178759
0.05,0.03,12.7325,-17.3919710842613,-0.319834035198706,-0.319834035198706,-17.3917690179524
0.05,0.03,12.78,-17.4005994904589,-0.320059816829052,-0.320059816829052,-17.4003944595918
0.05,0.03,12.8275,-17.409732528888,-0.320280052077979,-0.320280052077979,-17.4095245184471
0.05,0.03,12.875,-17.4193712527387,-0.320494759265564,-0.320494759265564,-17.4191602490216
0.05,0.03,12.9225,-17.4295165918804,-0.320703958001969,-0.320703958001969,-17.4293025825192
0.05,0.03,12.97,-17.4401693508477,-0.320907669195322,-0.320907669195322,-17.439952324829
0.05,0.03,13.0175,-17.4513302069624,-0.321105915059437,-0.321105915059434,-17.4511101546456
0.05,0.03,13.065,-17.4629997085966,-0.321298719121529,-0.321298719121529,-17.4627766217313
0.05,0.03,13.1125,-17.47517827358,-0.321486106229799,-0.321486106229799,-17.4749521453217
0.05,0.03,13.16,-17.4878661877541,-0.321668102560946,-0.321668102560946,-17.4876370126782
0.05,0.03,13.2075,-17.501063603676,-0.321844735627614,-0.321844735627614,-17.5008313777906
0.05,0.03,13.255,-17.5147705394742,-0.322016034285709,-0.322016034285709,-17.5145352602311
0.05,0.03,13.3025,-17.5289868778593,-0.322182028741677,-0.322182028741677,-17.5287485441636
0.05,0.03,13.35,-17.54371236529,-0.322342750559666,-0.322342750559666,-17.5434709775079
0.05,0.03,13.3975,-17.5589466112965,-0.322498232668626,-0.322498232668626,-17.5587021712618
0.05,0.03,13.445,-17.5746890879629,-0.322648509369291,-0.322648509369291,-17.5744415989814
0.05,0.03,13.4925,-17.5909391295683,-0.322793616341109,-0.322793616341109,-17.5906885964214
0.05,0.03,13.54,-17.6076959323882,-0.322933590649051,-0.322933590649051,-17.6074423613337
0.05,0.03,13.5875,-17.6249585546546,-0.323068470750332,-0.323068470750332,-17.6247019534267
0.05,0.03,13.635,-17.642725916676,-0.323198296501096,-0.323198296501096,-17.6424662944837
0.05,0.03,13.6825,-17.6609968011166,-0.323323109162917,-0.323323109162917,-17.66073416864
0.05,0.03,13.73,-17.6797698534324,-0.32344295140931,-0.32344295140931,-17.6795042228175
0.05,0.03,13.7775,-17.6990435824637,-0.323557867332059,-0.323557867332059,-17.698774967316
0.05,0.03,13.825,-17.7188163611833,-0.323667902447521,-0.323667902447521,-17.7185447765593
0.05,0.03,13.8725,-17.7390864275962,-0.323773103702802,-0.3237731037028,-17.7388118899933
0.05,0.03,13.92,-17.7598518857901,-0.323873519481839,-0.32387351948184,-17.7595744131358
0.05,0.03,13.9675,-17.781110707134,-0.323969199611408,-0.323969199611408,-17.7808303187725
0.05,0.03,14.015,-17.8028607316211,-0.324060195367012,-0.324060195367012,-17.8025774482989
0.05,0.03,14.0625,-17.8250996693532,-0.324146559478686,-0.324146559478681,-17.8248135132035
0.05,0.03,14.11,-17.8478251021634,-0.324228346136691,-0.324228346136689,-17.8475360966885
0.05,0.03,14.1575,-17.8710344853729,-0.324305610997142,-0.324305610997142,-17.8707426554257
0.05,0.03,14.205,-17.8947251496775,-0.324378411187503,-0.324378411187503,-17.8944305214414
0.05,0.03,14.2525,-17.9188943031608,-0.324446805311975,-0.324446805311974,-17.9185969041284
0.05,0.03,14.3,-17.9435390334274,-0.324510853456831,-0.324510853456831,-17.9432388923781
0.05,0.03,14.3475,-17.9686563098545,-0.324570617195588,-0.324570617195588,-17.9683534568303
0.05,0.03,14.395,-17.9942429859528,-0.324626159594132,-0.324626159594132,-17.993937452234
0.05,0.03,14.4425,-18.0202958018365,-0.3246775452157,-0.3246775452157,-18.0199876199151
0.05,0.03,14.49,-18.0468113867922,-0.324724840125769,-0.324724840125769,-18.0465005903453
0.05,0.03,14.5375,-18.0737862619453,-0.324768111896838,-0.324768111896838,-18.0734728858068
